family,name,kind,source_name,source_edition,source_ref,source_status,source_verified,h_mm,b_mm,tw_mm,tf_mm,t_mm,r_mm,r2_mm,mass_kg_m,A_mm2,Aeff_mm2,Iy_mm4,Iz_mm4,Ix_mm4,It_mm4,Iw_mm6,Wel_y_mm3,Wpl_y_mm3,Weff_y_mm3,Wel_z_mm3,Wpl_z_mm3,Weff_z_mm3,Avz_mm2,Avy_mm2,h_mm__status,h_mm__source_field,h_mm__derivation,b_mm__status,b_mm__source_field,b_mm__derivation,tw_mm__status,tw_mm__source_field,tw_mm__derivation,tf_mm__status,tf_mm__source_field,tf_mm__derivation,t_mm__status,t_mm__source_field,t_mm__derivation,r_mm__status,r_mm__source_field,r_mm__derivation,r2_mm__status,r2_mm__source_field,r2_mm__derivation,mass_kg_m__status,mass_kg_m__source_field,mass_kg_m__derivation,A_mm2__status,A_mm2__source_field,A_mm2__derivation,Aeff_mm2__status,Aeff_mm2__source_field,Aeff_mm2__derivation,Iy_mm4__status,Iy_mm4__source_field,Iy_mm4__derivation,Iz_mm4__status,Iz_mm4__source_field,Iz_mm4__derivation,Ix_mm4__status,Ix_mm4__source_field,Ix_mm4__derivation,It_mm4__status,It_mm4__source_field,It_mm4__derivation,Iw_mm6__status,Iw_mm6__source_field,Iw_mm6__derivation,Wel_y_mm3__status,Wel_y_mm3__source_field,Wel_y_mm3__derivation,Wpl_y_mm3__status,Wpl_y_mm3__source_field,Wpl_y_mm3__derivation,Weff_y_mm3__status,Weff_y_mm3__source_field,Weff_y_mm3__derivation,Wel_z_mm3__status,Wel_z_mm3__source_field,Wel_z_mm3__derivation,Wpl_z_mm3__status,Wpl_z_mm3__source_field,Wpl_z_mm3__derivation,Weff_z_mm3__status,Weff_z_mm3__source_field,Weff_z_mm3__derivation,Avz_mm2__status,Avz_mm2__source_field,Avz_mm2__derivation,Avy_mm2__status,Avy_mm2__source_field,Avy_mm2__derivation
IPE,IPE AA 80,open_i_or_h,ArcelorMittal Sections and Merchant Bars Sales Programme,V2026-1,https://sections.arcelormittal.com/repo/Sections/Sections%20and%20Merchant%20Bars-ArcelorMittal_V2026-1.xlsx,verified_published_table,true,78,46,3.2,4.2,4.2,5,,4.9,624.203822,624.203822,640900,68500,,3830,92000000,16430,18850,16430,2978.26087,4621.776,2978.26087,299.6,401.483822,existing_table_value,h_mm,,existing_table_value,b_mm,,existing_table_value,tw_mm,,existing_table_value,tf_mm,,existing_table_value,tf_mm,,existing_table_value,r_mm,,derived_from_same_source_geometry,same_row_verified_source_geometry,,existing_table_value,mass_kg_m,,derived_from_same_source_geometry,same_row_verified_source_geometry,A = mass_kg_m / 7850 * 1e6,derived_from_same_source_geometry,same_row_verified_source_geometry,Aeff = A when no effective area is tabulated,existing_table_value,Iy_mm4,,existing_table_value,Iz_mm4,,derived_from_same_source_geometry,same_row_verified_source_geometry,,existing_table_value,It_mm4,,existing_table_value,Iw_mm6,,existing_table_value,Wel_y_mm3,,existing_table_value,Wpl_y_mm3,,derived_from_same_source_geometry,same_row_verified_source_geometry,"Weff,y = Wel,y when no effective strong-axis value is tabulated",derived_from_same_source_geometry,same_row_verified_source_geometry,"Wel,z = Iz / (b / 2)",derived_from_same_source_geometry,same_row_verified_source_geometry,"Wpl,z = b^2*tf/2 + tw^2*(h - 2tf)/4",derived_from_same_source_geometry,same_row_verified_source_geometry,"Weff,z = Wel,z when no effective weak-axis value is tabulated",existing_table_value,Avz_mm2,,derived_from_same_source_geometry,same_row_verified_source_geometry,"Av,y = A - tw*(h - 2tf)"
IPE,IPE A 80,open_i_or_h,ArcelorMittal Sections and Merchant Bars Sales Programme,V2026-1,https://sections.arcelormittal.com/repo/Sections/Sections%20and%20Merchant%20Bars-ArcelorMittal_V2026-1.xlsx,verified_published_table,true,78,46,3.3,4.2,4.2,5,,5,636.942675,636.942675,643700,68520,,3920,92000000,16500,18970,16500,2979.130435,4633.086,2979.130435,307,407.262675,existing_table_value,h_mm,,existing_table_value,b_mm,,existing_table_value,tw_mm,,existing_table_value,tf_mm,,existing_table_value,tf_mm,,existing_table_value,r_mm,,derived_from_same_source_geometry,same_row_verified_source_geometry,,existing_table_value,mass_kg_m,,derived_from_same_source_geometry,same_row_verified_source_geometry,A = mass_kg_m / 7850 * 1e6,derived_from_same_source_geometry,same_row_verified_source_geometry,Aeff = A when no effective area is tabulated,existing_table_value,Iy_mm4,,existing_table_value,Iz_mm4,,derived_from_same_source_geometry,same_row_verified_source_geometry,,existing_table_value,It_mm4,,existing_table_value,Iw_mm6,,existing_table_value,Wel_y_mm3,,existing_table_value,Wpl_y_mm3,,derived_from_same_source_geometry,same_row_verified_source_geometry,"Weff,y = Wel,y when no effective strong-axis value is tabulated",derived_from_same_source_geometry,same_row_verified_source_geometry,"Wel,z = Iz / (b / 2)",derived_from_same_source_geometry,same_row_verified_source_geometry,"Wpl,z = b^2*tf/2 + tw^2*(h - 2tf)/4",derived_from_same_source_geometry,same_row_verified_source_geometry,"Weff,z = Wel,z when no effective weak-axis value is tabulated",existing_table_value,Avz_mm2,,derived_from_same_source_geometry,same_row_verified_source_geometry,"Av,y = A - tw*(h - 2tf)"
IPE,IPE 80,open_i_or_h,ArcelorMittal Sections and Merchant Bars Sales Programme,V2026-1,https://sections.arcelormittal.com/repo/Sections/Sections%20and%20Merchant%20Bars-ArcelorMittal_V2026-1.xlsx,verified_published_table,true,80,46,3.8,5.2,5.2,5,,6,764.33121,764.33121,801300,84890,,6720,117000000,20030,23210,20030,3690.869565,5752.856,3690.869565,357.7,499.85121,existing_table_value,h_mm,,existing_table_value,b_mm,,existing_table_value,tw_mm,,existing_table_value,tf_mm,,existing_table_value,tf_mm,,existing_table_value,r_mm,,derived_from_same_source_geometry,same_row_verified_source_geometry,,existing_table_value,mass_kg_m,,derived_from_same_source_geometry,same_row_verified_source_geometry,A = mass_kg_m / 7850 * 1e6,derived_from_same_source_geometry,same_row_verified_source_geometry,Aeff = A when no effective area is tabulated,existing_table_value,Iy_mm4,,existing_table_value,Iz_mm4,,derived_from_same_source_geometry,same_row_verified_source_geometry,,existing_table_value,It_mm4,,existing_table_value,Iw_mm6,,existing_table_value,Wel_y_mm3,,existing_table_value,Wpl_y_mm3,,derived_from_same_source_geometry,same_row_verified_source_geometry,"Weff,y = Wel,y when no effective strong-axis value is tabulated",derived_from_same_source_geometry,same_row_verified_source_geometry,"Wel,z = Iz / (b / 2)",derived_from_same_source_geometry,same_row_verified_source_geometry,"Wpl,z = b^2*tf/2 + tw^2*(h - 2tf)/4",derived_from_same_source_geometry,same_row_verified_source_geometry,"Weff,z = Wel,z when no effective weak-axis value is tabulated",existing_table_value,Avz_mm2,,derived_from_same_source_geometry,same_row_verified_source_geometry,"Av,y = A - tw*(h - 2tf)"
IPE,IPE AA 100,open_i_or_h,ArcelorMittal Sections and Merchant Bars Sales Programme,V2026-1,https://sections.arcelormittal.com/repo/Sections/Sections%20and%20Merchant%20Bars-ArcelorMittal_V2026-1.xlsx,verified_published_table,true,97.6,55,3.6,4.5,4.5,7,,6.7,853.503185,853.503185,1358000,125600,,6720,270000000,27840,31900,27840,4567.272727,7093.314,4567.272727,440.2,534.543185,existing_table_value,h_mm,,existing_table_value,b_mm,,existing_table_value,tw_mm,,existing_table_value,tf_mm,,existing_table_value,tf_mm,,existing_table_value,r_mm,,derived_from_same_source_geometry,same_row_verified_source_geometry,,existing_table_value,mass_kg_m,,derived_from_same_source_geometry,same_row_verified_source_geometry,A = mass_kg_m / 7850 * 1e6,derived_from_same_source_geometry,same_row_verified_source_geometry,Aeff = A when no effective area is tabulated,existing_table_value,Iy_mm4,,existing_table_value,Iz_mm4,,derived_from_same_source_geometry,same_row_verified_source_geometry,,existing_table_value,It_mm4,,existing_table_value,Iw_mm6,,existing_table_value,Wel_y_mm3,,existing_table_value,Wpl_y_mm3,,derived_from_same_source_geometry,same_row_verified_source_geometry,"Weff,y = Wel,y when no effective strong-axis value is tabulated",derived_from_same_source_geometry,same_row_verified_source_geometry,"Wel,z = Iz / (b / 2)",derived_from_same_source_geometry,same_row_verified_source_geometry,"Wpl,z = b^2*tf/2 + tw^2*(h - 2tf)/4",derived_from_same_source_geometry,same_row_verified_source_geometry,"Weff,z = Wel,z when no effective weak-axis value is tabulated",existing_table_value,Avz_mm2,,derived_from_same_source_geometry,same_row_verified_source_geometry,"Av,y = A - tw*(h - 2tf)"
IPE,IPE A 100,open_i_or_h,ArcelorMittal Sections and Merchant Bars Sales Programme,V2026-1,https://sections.arcelormittal.com/repo/Sections/Sections%20and%20Merchant%20Bars-ArcelorMittal_V2026-1.xlsx,verified_published_table,true,98,55,3.6,4.7,4.7,7,,6.9,878.980892,878.980892,1411000,131200,,7260,283000000,28800,32980,28800,4770.909091,7395.814,4770.909091,443.7,560.020892,existing_table_value,h_mm,,existing_table_value,b_mm,,existing_table_value,tw_mm,,existing_table_value,tf_mm,,existing_table_value,tf_mm,,existing_table_value,r_mm,,derived_from_same_source_geometry,same_row_verified_source_geometry,,existing_table_value,mass_kg_m,,derived_from_same_source_geometry,same_row_verified_source_geometry,A = mass_kg_m / 7850 * 1e6,derived_from_same_source_geometry,same_row_verified_source_geometry,Aeff = A when no effective area is tabulated,existing_table_value,Iy_mm4,,existing_table_value,Iz_mm4,,derived_from_same_source_geometry,same_row_verified_source_geometry,,existing_table_value,It_mm4,,existing_table_value,Iw_mm6,,existing_table_value,Wel_y_mm3,,existing_table_value,Wpl_y_mm3,,derived_from_same_source_geometry,same_row_verified_source_geometry,"Weff,y = Wel,y when no effective strong-axis value is tabulated",derived_from_same_source_geometry,same_row_verified_source_geometry,"Wel,z = Iz / (b / 2)",derived_from_same_source_geometry,same_row_verified_source_geometry,"Wpl,z = b^2*tf/2 + tw^2*(h - 2tf)/4",derived_from_same_source_geometry,same_row_verified_source_geometry,"Weff,z = Wel,z when no effective weak-axis value is tabulated",existing_table_value,Avz_mm2,,derived_from_same_source_geometry,same_row_verified_source_geometry,"Av,y = A - tw*(h - 2tf)"
IPE,IPE100,open_i_or_h,ArcelorMittal Sections and Merchant Bars Sales Programme,V2026-1,https://sections.arcelormittal.com/repo/Sections/Sections%20and%20Merchant%20Bars-ArcelorMittal_V2026-1.xlsx,verified_published_table,true,100,55,4.1,5.7,5.7,7,,8.1,1032,1032,1710000,159100,12100,11570,351000000,34200,39410,34200,5782,9146,5782,509,668.74,existing_table_value,h_mm,,existing_table_value,b_mm,,existing_table_value,tw_mm,,existing_table_value,tf_mm,,existing_table_value,tf_mm,,existing_table_value,r_mm,,derived_from_same_source_geometry,same_row_verified_source_geometry,,existing_table_value,mass_kg_m,,existing_table_value,A_mm2,,existing_table_value,Aeff_mm2,,existing_table_value,Iy_mm4,,existing_table_value,Iz_mm4,,existing_table_value,Ix_mm4,,existing_table_value,It_mm4,,existing_table_value,Iw_mm6,,existing_table_value,Wel_y_mm3,,existing_table_value,Wpl_y_mm3,,existing_table_value,Weff_y_mm3,,existing_table_value,Wel_z_mm3,,existing_table_value,Wpl_z_mm3,,existing_table_value,Weff_z_mm3,,existing_table_value,Avz_mm2,,derived_from_same_source_geometry,same_row_verified_source_geometry,"Av,y = A - tw*(h - 2tf)"
IPE,IPE AA 120,open_i_or_h,ArcelorMittal Sections and Merchant Bars Sales Programme,V2026-1,https://sections.arcelormittal.com/repo/Sections/Sections%20and%20Merchant%20Bars-ArcelorMittal_V2026-1.xlsx,verified_published_table,true,117,64,3.8,4.8,4.8,7,,8.4,1070.063694,1070.063694,2441000,210700,,8890,660000000,41730,47610,41730,6584.375,10218.114,6584.375,535.6,661.943694,existing_table_value,h_mm,,existing_table_value,b_mm,,existing_table_value,tw_mm,,existing_table_value,tf_mm,,existing_table_value,tf_mm,,existing_table_value,r_mm,,derived_from_same_source_geometry,same_row_verified_source_geometry,,existing_table_value,mass_kg_m,,derived_from_same_source_geometry,same_row_verified_source_geometry,A = mass_kg_m / 7850 * 1e6,derived_from_same_source_geometry,same_row_verified_source_geometry,Aeff = A when no effective area is tabulated,existing_table_value,Iy_mm4,,existing_table_value,Iz_mm4,,derived_from_same_source_geometry,same_row_verified_source_geometry,,existing_table_value,It_mm4,,existing_table_value,Iw_mm6,,existing_table_value,Wel_y_mm3,,existing_table_value,Wpl_y_mm3,,derived_from_same_source_geometry,same_row_verified_source_geometry,"Weff,y = Wel,y when no effective strong-axis value is tabulated",derived_from_same_source_geometry,same_row_verified_source_geometry,"Wel,z = Iz / (b / 2)",derived_from_same_source_geometry,same_row_verified_source_geometry,"Wpl,z = b^2*tf/2 + tw^2*(h - 2tf)/4",derived_from_same_source_geometry,same_row_verified_source_geometry,"Weff,z = Wel,z when no effective weak-axis value is tabulated",existing_table_value,Avz_mm2,,derived_from_same_source_geometry,same_row_verified_source_geometry,"Av,y = A - tw*(h - 2tf)"
IPE,IPE A 120,open_i_or_h,ArcelorMittal Sections and Merchant Bars Sales Programme,V2026-1,https://sections.arcelormittal.com/repo/Sections/Sections%20and%20Merchant%20Bars-ArcelorMittal_V2026-1.xlsx,verified_published_table,true,117.6,64,3.8,5.1,5.1,7,,8.7,1108.280255,1108.280255,2573000,223800,,9960,705000000,43760,49870,43760,6993.75,10832.514,6993.75,540.9,700.160255,existing_table_value,h_mm,,existing_table_value,b_mm,,existing_table_value,tw_mm,,existing_table_value,tf_mm,,existing_table_value,tf_mm,,existing_table_value,r_mm,,derived_from_same_source_geometry,same_row_verified_source_geometry,,existing_table_value,mass_kg_m,,derived_from_same_source_geometry,same_row_verified_source_geometry,A = mass_kg_m / 7850 * 1e6,derived_from_same_source_geometry,same_row_verified_source_geometry,Aeff = A when no effective area is tabulated,existing_table_value,Iy_mm4,,existing_table_value,Iz_mm4,,derived_from_same_source_geometry,same_row_verified_source_geometry,,existing_table_value,It_mm4,,existing_table_value,Iw_mm6,,existing_table_value,Wel_y_mm3,,existing_table_value,Wpl_y_mm3,,derived_from_same_source_geometry,same_row_verified_source_geometry,"Weff,y = Wel,y when no effective strong-axis value is tabulated",derived_from_same_source_geometry,same_row_verified_source_geometry,"Wel,z = Iz / (b / 2)",derived_from_same_source_geometry,same_row_verified_source_geometry,"Wpl,z = b^2*tf/2 + tw^2*(h - 2tf)/4",derived_from_same_source_geometry,same_row_verified_source_geometry,"Weff,z = Wel,z when no effective weak-axis value is tabulated",existing_table_value,Avz_mm2,,derived_from_same_source_geometry,same_row_verified_source_geometry,"Av,y = A - tw*(h - 2tf)"
IPE,IPE 120,open_i_or_h,ArcelorMittal Sections and Merchant Bars Sales Programme,V2026-1,https://sections.arcelormittal.com/repo/Sections/Sections%20and%20Merchant%20Bars-ArcelorMittal_V2026-1.xlsx,verified_published_table,true,120,64,4.4,6.3,6.3,7,,10.4,1324.840764,1324.840764,3177000,276600,,16900,889000000,52950,60720,52950,8643.75,13422.216,8643.75,630.5,852.280764,existing_table_value,h_mm,,existing_table_value,b_mm,,existing_table_value,tw_mm,,existing_table_value,tf_mm,,existing_table_value,tf_mm,,existing_table_value,r_mm,,derived_from_same_source_geometry,same_row_verified_source_geometry,,existing_table_value,mass_kg_m,,derived_from_same_source_geometry,same_row_verified_source_geometry,A = mass_kg_m / 7850 * 1e6,derived_from_same_source_geometry,same_row_verified_source_geometry,Aeff = A when no effective area is tabulated,existing_table_value,Iy_mm4,,existing_table_value,Iz_mm4,,derived_from_same_source_geometry,same_row_verified_source_geometry,,existing_table_value,It_mm4,,existing_table_value,Iw_mm6,,existing_table_value,Wel_y_mm3,,existing_table_value,Wpl_y_mm3,,derived_from_same_source_geometry,same_row_verified_source_geometry,"Weff,y = Wel,y when no effective strong-axis value is tabulated",derived_from_same_source_geometry,same_row_verified_source_geometry,"Wel,z = Iz / (b / 2)",derived_from_same_source_geometry,same_row_verified_source_geometry,"Wpl,z = b^2*tf/2 + tw^2*(h - 2tf)/4",derived_from_same_source_geometry,same_row_verified_source_geometry,"Weff,z = Wel,z when no effective weak-axis value is tabulated",existing_table_value,Avz_mm2,,derived_from_same_source_geometry,same_row_verified_source_geometry,"Av,y = A - tw*(h - 2tf)"
IPE,IPE AA 140,open_i_or_h,ArcelorMittal Sections and Merchant Bars Sales Programme,V2026-1,https://sections.arcelormittal.com/repo/Sections/Sections%20and%20Merchant%20Bars-ArcelorMittal_V2026-1.xlsx,verified_published_table,true,136.6,73,3.8,5.2,5.2,7,,10.1,1286.624204,1286.624204,4074000,338300,,11530,1455000000,59650,67590,59650,9268.493151,14310.982,9268.493151,614.1,807.064204,existing_table_value,h_mm,,existing_table_value,b_mm,,existing_table_value,tw_mm,,existing_table_value,tf_mm,,existing_table_value,tf_mm,,existing_table_value,r_mm,,derived_from_same_source_geometry,same_row_verified_source_geometry,,existing_table_value,mass_kg_m,,derived_from_same_source_geometry,same_row_verified_source_geometry,A = mass_kg_m / 7850 * 1e6,derived_from_same_source_geometry,same_row_verified_source_geometry,Aeff = A when no effective area is tabulated,existing_table_value,Iy_mm4,,existing_table_value,Iz_mm4,,derived_from_same_source_geometry,same_row_verified_source_geometry,,existing_table_value,It_mm4,,existing_table_value,Iw_mm6,,existing_table_value,Wel_y_mm3,,existing_table_value,Wpl_y_mm3,,derived_from_same_source_geometry,same_row_verified_source_geometry,"Weff,y = Wel,y when no effective strong-axis value is tabulated",derived_from_same_source_geometry,same_row_verified_source_geometry,"Wel,z = Iz / (b / 2)",derived_from_same_source_geometry,same_row_verified_source_geometry,"Wpl,z = b^2*tf/2 + tw^2*(h - 2tf)/4",derived_from_same_source_geometry,same_row_verified_source_geometry,"Weff,z = Wel,z when no effective weak-axis value is tabulated",existing_table_value,Avz_mm2,,derived_from_same_source_geometry,same_row_verified_source_geometry,"Av,y = A - tw*(h - 2tf)"
